,created_at,text,screen_name,followers,friends,rt,fav,0,0
103,Wed Jun 07 16:26:03 +0000 2017," '""RT @mmlondonstudio: @SocialistVoice @HarrietLee95 Would labour be paying attention to abused (for many years) trading regulations? We a… ""'", 'awkward_1110',7414,5903,0,0,-0.5,0
104,Wed Jun 07 16:26:03 +0000 2017," '""RT @SocialistVoice: @JimDOfficial @Rachael_Swindon Tories pledge to do more for victims of domestic violence - so they hire wife-beater… ""'", 'robsmith286',170,675,0,0,-0.5,0
105,Wed Jun 07 16:26:03 +0000 2017," '""RT @ToryFibs: #Breaking.... Theresa May has made an early morning trip to a Butchers\' Market where she was booed by workers. https://t.co/x…""'", 'BlackAx_',99,322,0,0,-0.5,0
106,Wed Jun 07 16:26:03 +0000 2017," '""RT @lambeth_council: Not voted before? \nHere\'s what to expect when you get to your polling station tomorrow\nhttps://t.co/mwiISUJP7t… ""'", 'lamlibs',2270,613,0,0,-0.5,0
107,Wed Jun 07 16:26:03 +0000 2017," '""@silverrich39 @BBC  tory news agenda stinks so much even they becoming aware""'", 'birdbrook',812,1626,0,0,-0.5,0
108,Wed Jun 07 16:26:03 +0000 2017," '""Rubbish. Let\'s see if she tears up the book on PC as promised for the sake of innocents killed. https://t.co/onV59QsOzj""'", 'hindoostantours',34,19,0,0,-0.5,0
109,Wed Jun 07 16:26:03 +0000 2017," '""RT @benatipsosmori: One of the most remarkable charts of the election - Labour supporters change their minds on @JeremyCorbyn4PM… ""'", 'GlennConnection',658,1880,0,0,-0.5,0
110,Wed Jun 07 16:26:03 +0000 2017," '""@stehoare A Tory and a bluenose... 🙄""'", 'lfc_heartbeat',26,43,0,0,-0.5,0
111,Wed Jun 07 16:26:03 +0000 2017," '""RT @DPJHodges: People asking from my final prediction. Tory majority 110. There you go Jeremy Corbyn. Don\'t say I never do anything for you…""'", 'Jordania213',380,1422,0,0,-0.5,0
112,Wed Jun 07 16:26:03 +0000 2017," '""RT @PeterStefanovi2: Owen Jones branding Theresa May a ‘threat to national security’ live on TV  https://t.co/EnzFAoqani via @thecanarysays""'", 'KastratiMet',179,898,0,0,-0.5,0
113,Wed Jun 07 16:26:03 +0000 2017," '""RT @DrTeckKhong: Voting #UKIP ensures that Theresa May\'s Brexit negotiations &amp; implementation of other policies have the right balan… ""'", 'JosephTaylor26',4380,5000,0,0,-0.5,0
114,Wed Jun 07 16:26:03 +0000 2017," '""RT @IanTwinn: All the best for tomorrow and for all our London @Conservatives candidates https://t.co/8QTKBxm4E5""'", 'Ben4Highgate',163,374,0,0,-0.5,0
115,Wed Jun 07 16:26:03 +0000 2017," '""RT @johnmcdonnellMP: Nobel Prizewinning economist Joseph Stiglitz backs Labour\'s plans for the economy. https://t.co/2Pse8ESSpk""'", 'DenzpDp',357,494,0,0,-0.5,0
116,Wed Jun 07 16:26:03 +0000 2017," '""RT @CorbynSnap: I\'ve now denied every cause I believed in. I\'ve become just another lying politician. #GE2017""'", 'SlmpIyYann',44,86,0,0,-0.5,0
117,Wed Jun 07 16:26:03 +0000 2017," '""Split meaning the tories could make gains and that terrifies me. Sod right off you\'ve only got 1 MP here rn and it\'s already 1 too many""'", 'ohmygouldness',2533,501,0,0,-0.5,0
118,Wed Jun 07 16:26:03 +0000 2017," '""RT @adamrowecomedy: BREAKING NEWS: Billionaire Tory doesn\'t want you to vote Labour.  https://t.co/WML2FOJFES""'", 'matthewheathuk',280,925,0,0,-0.5,0
119,Wed Jun 07 16:26:03 +0000 2017," '""RT @DavidJo52951945: Jeremy Corbyn will always back the \'human rights\' of terrorists of the safety of British people https://t.co/URT4SSNJ2V""'", 'MrDiddy85',622,492,0,0,-0.5,0
120,Wed Jun 07 16:26:03 +0000 2017," '""RT @StrongerStabler: We aren\'t voting for president here. Vote for party whose manifesto most suits your needs. Unlikely to be Tory.… ""'", 'GBWhalley',154,506,0,0,-0.5,0
121,Wed Jun 07 16:26:03 +0000 2017," '""RT @Otto_English: Corbyn """"we will give all students free university places by September""""\n\nTheresa May """"we will take away your human rights.…""'", 'waters_ivan',670,1051,0,0,-0.5,0
122,Wed Jun 07 16:26:03 +0000 2017," '""RT @DrSGClark: Exactly. It\'s the people we haven\'t convinced in the places we need to convince them that matters https://t.co/HLRU0ASRjM""'", 'LuckySam83',264,548,0,0,-0.5,0
123,Wed Jun 07 16:26:04 +0000 2017," '""RT @smallthunderdog: *vomits copiously* https://t.co/TKcOvUXlIK""'", 'Demon_Dantanian',288,436,0,0,-0.5,0
124,Wed Jun 07 16:26:04 +0000 2017," '""@hzeffman Wow now that\'s a crowd for her. #GE2017 #VoteLabour2017""'", 'morrispexmouth',1064,1357,0,0,-0.5,0
125,Wed Jun 07 16:26:04 +0000 2017," '""RT @SophiaAB81: This plea to vote Labour to save NHS written by a pregnant daughter of a critically ill mother is going viral https://t.co/…""'", 'ee94d7b6360945e',1622,2767,0,0,-0.5,0
126,Wed Jun 07 16:26:04 +0000 2017," '""Remember every fifteen minutes a conservative loses heart. \nLabour can win this election.\nIf we all vote!!!""'", 'Pompytrunk',182,198,0,0,-0.5,0
127,Wed Jun 07 16:26:04 +0000 2017," '""RT @ian_a_jones: Where May &amp; Corbyn spent the #GE2017 campaign. Corbyn barely set foot in Labour marginals and visited more Tory str… ""'", 'RichieD_',569,721,0,0,-0.5,0
