created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 12 12:05:13 +0000 2017', '"RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…"', 'JCarterWoodrow', 8018, 7921, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @Irish_Ulster: @standardnews @DeclanBurke2 ‘UK Tories new bedfellows: the DUP terrorist-linked party’ by Ruaidrí… "', 'coimcne', 524, 383, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"@DarrenOfAlbany @OwenJones84 HaHa...Im over 50, retired millionaire County Councillor, never voted Labour in my life until last week!"', 'PrincesBold', 2534, 1459, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @OwenJones84: I really think the Tories should start getting very, very scared indeed. https://t.co/o1WYsvTDBm"', 'laetisiacarter', 741, 1346, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @OwenJones84: Heres the source, for those wondering: https://t.co/fQQKPJSQFJ Dont give Theresa May any pity. She deserves none."', 'RobbieCarney80', 553, 556, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @OwenJones84: Heres the source, for those wondering: https://t.co/fQQKPJSQFJ Dont give Theresa May any pity. She deserves none."', 'lameirasb', 270, 508, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"Under #Tory-led gov. the rate of #childpoverty, which fell during the 2000s, is now rising sharply. https://t.co/RqpBniXHck"', 'gary_pass', 116, 321, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @JeremyCliffe: A year ago Tory commentators were grandly hailing Europes doom. Today Merkel and Macron are riding high, while Britain i…"', 'Tullyherron', 1170, 734, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @MirrorPolitics: 6 nasty Tory policies Theresa May could be forced to ditch from the Queens Speech \n\n#CoalitionOfChaos… "', 'NidgeBall1', 191, 353, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @EllenRenton: What do you think is main reason for the loss of 21 SNP seats in #GE2017 #DUPdeal #mondaymotivation - please RT as widely…"', 'Scotlandscreams', 95, 89, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @LustforLo: nigga they disrespected you and they still got your coins. played yourself https://t.co/8QaQzl4Eji"', 'Diklava', 1552, 492, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @lewis_goodall: Its not unconstitutional but Labour will rightly say theyre trying to buy themselves more time. Obviously fear losing…"', 'BrownsteinItay', 63, 1570, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @christopherhope: What is going on? Number 10 now suggesting the Queens Speech might be delayed. This is a Tory Coalition of Chaos."', 'johnbud86', 2078, 2137, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @JamilahLemieux: Your MCM gave some white folks $35k to reward employees for being racist https://t.co/nVGH44Czzd"', 'slimchayedee', 1105, 727, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…"', 'MarceeeCali', 236, 615, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"Robert i answered YES, i have never yet voted tory, but if Jacob was leader i would! https://t.co/rbronmh4Zj"', 'ceefax2', 79, 114, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @JamesMelville: We should remember the tough week all those who visited a foodbank have had, and ask whether Theresa May could do i… "', 'Wok_Chi_Steve', 2058, 4998, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"The Sith Lords to support minority Tory Government on a confidence and supply basis https://t.co/B28D8QGelH"', 'SFbookclub', 2281, 2999, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @Gurmeetramrahim: On #WorldDayAgainstChildLabour, lets take pledge to eradicate child labour by not employing, rather educating them… "', 'KaushlyaSethi', 11, 2, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"@MellowOchre @LeonC1963 Im sure mcnicol sends me donation requests cos he knows Im on esa . He takes the piss he… https://t.co/Z0wq9FH2WK"', 'rhymingmisfit', 1102, 1531, 0, 0
'Mon Jun 12 12:05:14 +0000 2017', '"RT @jonsnowC4: Here we go..for those too young to remember. Portadown has been the scene of some very nasty stuff down the years. https://t…"', 'LeedsFromLeeds', 1191, 3011, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @paulmasonnews: Good morning. Its time to call out the bullshit of the Labour moderates - it cost Labour victory. 1/~ They fought a *…"', 'MarcusMillett', 74, 45, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @liamyoung: This onslaught against young people will only embolden us. We will vote Labour next time in even greater numbers. Its our f…"', 'tony26860', 176, 470, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @Redcountessa: I VOTED LABOUR COS OF CORBYN. Not Jess Philips, not John Mann, not  Ian Austin, not Tom Watson, not Wes Streeting, not B…"', 'suebrazier', 1103, 2428, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @MrMalky: Lest we forget\nThe Tories dont give a f*ck about the Good Friday Agreement\nHere are their local election posters i… "', 'AJPOD1965', 1550, 2642, 0, 0
